store_code,city,division_code,model_type,MAPE,MAPE_flag,wMAPE,RMSSE,MAE,Train_Mean,Test_Mean,Train_Weeks,Test_Weeks,Regressors,weather_tier,is_collapse,is_surge,is_unreliable_div,eval_seasonal
CP01 - Québec,Québec,BQ,weekly_prophet,26.3715,ok,6.9682,4.2235,34.84,19.73,5.0,45,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,False,False,False,True
CP01 - Québec,Québec,CH,weekly_prophet,,suppressed_low_test_mean_4.4,2.1318,2.6559,9.33,10.87,4.38,55,8,"avg_temp, has_holiday",weak,False,False,False,True
CP01 - Québec,Québec,FI,weekly_prophet,0.7304,ok,0.7713,1.3161,11.67,9.81,15.12,48,8,has_holiday,neutral,False,False,False,True
CP01 - Québec,Québec,GA,weekly_prophet,,suppressed_low_test_mean_3.4,21.5951,4.1226,72.88,19.81,3.38,64,8,"avg_temp, has_holiday",weak,False,False,False,True
CP01 - Québec,Québec,HT,lumpy_baseline,,lumpy,,,,0.07,,57,8,none,n/a,False,False,False,False
CP01 - Québec,Québec,IN,weekly_prophet,,suppressed_low_test_mean_2.1,14.2759,7.3665,30.34,5.32,2.12,50,8,has_holiday,neutral,False,False,False,True
CP01 - Québec,Québec,LO,weekly_prophet,4.8082,ok,2.8817,0.8175,49.71,92.94,17.25,52,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,False,False,False,True
CP01 - Québec,Québec,ME,weekly_prophet,2.9191,ok,2.0035,1.0522,65.86,149.81,32.88,72,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,False,False,False,True
CP01 - Québec,Québec,PC,weekly_prophet,0.9929,ok,0.9892,0.5237,151.72,629.45,153.38,65,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,False,False,False,True
CP01 - Québec,Québec,SP,weekly_prophet,,suppressed_low_test_mean_3.9,22.7403,29.6011,88.12,5.1,3.88,50,8,has_holiday,neutral,False,False,False,True
CP02 - Blainville,Blainville,BQ,weekly_prophet,0.7386,ok,0.7486,1.8359,7.21,5.17,9.62,58,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,False,False,False,True
CP02 - Blainville,Blainville,CH,weekly_prophet,0.8431,ok,0.8476,3.308,12.93,6.27,15.25,60,8,"avg_temp, has_holiday",weak,False,False,False,True
CP02 - Blainville,Blainville,FI,weekly_prophet,,suppressed_low_test_mean_4.9,0.9827,0.6352,4.79,4.94,4.88,70,8,has_holiday,neutral,False,False,False,True
CP02 - Blainville,Blainville,GA,weekly_prophet,0.4964,ok,0.4943,0.6486,3.89,10.59,7.88,80,8,"avg_temp, has_holiday",weak,False,False,False,True
CP02 - Blainville,Blainville,HT,weekly_prophet,0.6166,ok,0.6506,1.5068,5.04,5.68,7.75,68,8,"avg_temp, has_holiday",weak,False,False,False,True
CP02 - Blainville,Blainville,IN,weekly_prophet,0.9126,ok,0.9268,0.2275,19.35,56.46,20.88,79,8,has_holiday,neutral,False,False,False,True
CP02 - Blainville,Blainville,PA,weekly_prophet,1.5545,ok,1.4772,3.203,29.36,12.57,19.88,54,8,"avg_temp, has_holiday",weak,False,False,False,True
CP04 - Drummondville,Drummondville,BQ,weekly_prophet,0.5741,ok,0.4699,1.9213,5.58,4.04,11.88,49,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,False,False,False,True
CP04 - Drummondville,Drummondville,CH,weekly_prophet,0.3259,ok,0.3378,0.5317,1.73,6.07,5.12,82,8,"avg_temp, has_holiday",weak,False,False,False,True
CP04 - Drummondville,Drummondville,FI,weekly_prophet,0.8259,ok,0.9233,1.0468,7.96,5.05,8.62,99,8,has_holiday,neutral,False,False,False,True
CP04 - Drummondville,Drummondville,GA,weekly_prophet,0.6288,ok,0.4555,0.5767,3.81,7.83,8.38,72,8,"avg_temp, has_holiday",weak,False,False,False,True
CP04 - Drummondville,Drummondville,HT,weekly_prophet,0.9443,ok,0.9715,2.7207,15.18,9.55,15.62,75,8,"avg_temp, has_holiday",weak,False,False,False,True
CP04 - Drummondville,Drummondville,IN,weekly_prophet,1.1471,ok,1.2459,3.0469,9.34,5.25,7.5,73,8,has_holiday,neutral,False,False,False,True
CP04 - Drummondville,Drummondville,LO,weekly_prophet,0.89,ok,0.9246,0.3777,21.73,96.16,23.5,108,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,False,False,False,True
CP04 - Drummondville,Drummondville,PA,weekly_prophet,0.5668,ok,0.5893,1.1594,5.97,7.46,10.12,50,8,"avg_temp, has_holiday",weak,False,False,False,True
CP06 - Granby,Granby,BQ,weekly_prophet,,suppressed_low_test_mean_4.4,1.6717,0.7319,7.31,22.11,4.38,88,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,False,False,False,True
CP06 - Granby,Granby,CH,weekly_prophet,0.6275,ok,0.5936,0.8211,3.04,6.53,5.12,77,8,"avg_temp, has_holiday",weak,False,False,False,True
CP06 - Granby,Granby,FI,weekly_prophet,1.3984,ok,0.8828,0.5165,8.28,9.38,9.38,99,8,has_holiday,neutral,False,False,False,True
CP06 - Granby,Granby,GA,weekly_prophet,0.7199,ok,0.6634,0.1475,9.45,32.69,14.25,86,8,"avg_temp, has_holiday",weak,False,False,False,True
CP06 - Granby,Granby,HT,weekly_prophet,,suppressed_low_test_mean_3.1,5.7882,3.6163,18.09,6.57,3.12,77,8,"avg_temp, has_holiday",weak,False,False,False,True
CP06 - Granby,Granby,IN,weekly_prophet,60.0925,ok,0.959,0.5355,774.12,2007.27,807.25,107,8,has_holiday,neutral,False,False,False,True
CP06 - Granby,Granby,LO,weekly_prophet,1.6594,ok,1.2032,0.483,15.34,75.19,12.75,108,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,False,False,False,True
CP06 - Granby,Granby,ME,weekly_prophet,0.7477,ok,0.9319,1.5267,206.19,199.29,221.25,106,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,False,False,False,True
CP06 - Granby,Granby,PA,weekly_prophet,0.9122,ok,0.9316,0.8858,22.24,12.19,23.88,57,8,"avg_temp, has_holiday",weak,False,False,False,True
CP06 - Granby,Granby,SP,weekly_prophet,,suppressed_low_test_mean_3.0,0.6487,1.0358,1.95,4.57,3.0,86,8,has_holiday,neutral,False,False,False,True
CP07 - Laval,Laval,BQ,weekly_prophet,0.6684,ok,0.7911,0.9972,8.01,21.42,10.12,92,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,False,False,False,True
CP07 - Laval,Laval,CH,weekly_prophet,0.6153,ok,0.6374,1.0685,5.42,10.19,8.5,77,8,"avg_temp, has_holiday",weak,False,False,False,True
CP07 - Laval,Laval,FI,weekly_prophet,0.6537,ok,0.6178,1.0179,9.5,11.22,15.38,106,8,has_holiday,neutral,False,False,False,True
CP07 - Laval,Laval,GA,weekly_prophet,0.8501,ok,0.515,0.4214,4.06,24.13,7.88,94,8,"avg_temp, has_holiday",weak,False,False,False,True
CP07 - Laval,Laval,HT,weekly_prophet,0.8146,ok,0.8377,1.2638,6.39,9.12,7.62,75,8,"avg_temp, has_holiday",weak,False,False,False,True
CP07 - Laval,Laval,IN,weekly_prophet,1.0,ok,1.0,0.281,51.62,131.56,51.62,87,8,has_holiday,neutral,False,False,False,True
CP07 - Laval,Laval,ME,weekly_prophet,0.9638,ok,0.9461,0.2143,45.42,292.94,48.0,108,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,False,False,False,True
CP07 - Laval,Laval,PA,weekly_prophet,1.0,ok,1.0,1.3698,46.62,25.27,46.62,71,8,"avg_temp, has_holiday",weak,False,False,False,True
CP07 - Laval,Laval,SP,weekly_prophet,0.6333,ok,0.6174,1.6466,3.4,4.46,5.5,85,8,has_holiday,neutral,False,False,False,True
CP08 - Longueuil,Longueuil,BQ,weekly_prophet,1.2117,ok,1.0693,1.3273,7.62,10.59,7.12,70,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,False,False,False,True
CP08 - Longueuil,Longueuil,CH,weekly_prophet,,suppressed_low_test_mean_4.1,0.831,1.2495,3.43,5.86,4.12,80,8,"avg_temp, has_holiday",weak,False,False,False,True
CP08 - Longueuil,Longueuil,FI,weekly_prophet,0.8411,ok,0.8544,0.6635,5.87,7.24,6.88,104,8,has_holiday,neutral,False,False,False,True
CP08 - Longueuil,Longueuil,GA,weekly_prophet,0.7938,ok,0.855,0.1709,4.6,10.94,5.38,79,8,"avg_temp, has_holiday",weak,False,False,False,True
CP08 - Longueuil,Longueuil,HT,weekly_prophet,0.812,ok,0.8267,2.0651,8.27,5.99,10.0,75,8,"avg_temp, has_holiday",weak,False,False,False,True
